accuracy,perf,pair_interaction_threshold_0,pair_interaction_decision_0,pair_interaction_decision_1,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.8898008347677109,0.510647,147,0,0,37,0,0,0,0,0
0.8898008347677109,0.550397,16,0,0,3,0,1,0,0,0
0.8902044755764664,0.493292,18,1,0,0,0,1,2,0,1
0.8900962110048045,0.314393,0,1,1,43,0,0,14,0,0
0.8900962110048045,0.313831,0,1,1,41,1,0,14,0,0
0.8900962110048045,0.317026,0,1,1,41,0,0,14,1,0
0.8900962110048045,0.315767,0,1,1,9,0,0,14,0,0
0.8898008347677109,0.514312,77,0,0,4,0,0,2,0,0
0.8898008347677109,0.508377,95,0,0,11,0,0,2,0,0
0.8898008347677109,0.512456,117,0,0,6,0,0,2,0,0
0.8898008347677109,0.508943,44,0,0,5,0,0,1,0,0
0.8900962110048045,0.314995,0,1,1,48,0,0,14,0,0
0.8900962110048045,0.314496,0,1,1,45,0,0,14,0,0
0.8900962110048045,0.313731,2,1,1,41,0,0,14,0,0
0.8900962110048045,0.31536,0,1,1,41,0,0,7,0,0
0.8900962110048045,0.315942,7,1,1,81,0,0,4,0,0
0.8900962110048045,0.317742,0,1,1,41,0,0,10,1,0
0.8893062170561068,0.538926,44,0,1,15,0,0,11,0,0
0.8898008347677109,0.513257,76,0,0,2,0,1,2,0,0
0.8900962110048045,0.316804,120,1,1,41,0,0,23,0,0
0.8900962110048045,0.315468,0,1,1,6,0,0,14,1,0
0.8900962110048045,0.315363,0,1,1,0,0,0,12,0,0
0.8900962110048045,0.314686,0,1,1,0,0,0,14,0,0
0.8898008347677109,0.509866,158,0,0,4,0,0,0,0,0
0.8900962110048045,0.314694,2,1,1,41,0,0,17,0,0
0.8900962110048045,0.313906,0,1,1,41,0,0,21,0,0
0.8900962110048045,0.336728,0,1,1,89,0,0,14,0,0
0.8898008347677109,0.51031,107,0,0,13,0,0,0,0,0
0.8900962110048045,0.333768,144,1,0,0,1,1,0,1,0
0.8898008347677109,0.508585,7,0,0,4,0,1,5,0,0
0.8900962110048045,0.316613,7,1,1,33,0,0,2,0,0
0.8898008347677109,0.508517,96,0,0,9,0,0,0,0,0
0.8900962110048045,0.315202,0,1,1,41,0,0,14,1,0
0.8900962110048045,0.319636,0,1,1,3,0,0,14,1,0
0.8900962110048045,0.313932,0,1,1,41,0,0,14,1,0
0.8898008347677109,0.507632,50,0,0,9,0,0,0,0,0
0.8900962110048045,0.315446,0,1,1,41,0,0,13,0,0
0.8900962110048045,0.315352,0,1,1,25,0,0,23,0,0
0.8900962110048045,0.317972,0,1,1,41,0,0,15,0,0
0.8898008347677109,0.507487,66,0,0,8,0,0,0,0,0
0.8898008347677109,0.528297,200,0,1,12,0,1,4,0,0
0.8898008347677109,0.512763,64,0,0,26,0,0,7,0,0
0.8898008347677109,0.533992,113,0,1,10,0,0,1,1,0
0.8898008347677109,0.507141,22,0,0,19,0,0,7,0,0
0.8900962110048045,0.329563,103,1,0,41,0,0,14,0,0
0.8900962110048045,0.313184,0,1,1,41,1,0,14,0,0
0.8900962110048045,0.317289,0,1,1,41,0,0,14,1,0
0.8898008347677109,0.508278,43,0,0,12,0,0,3,0,0
0.8900962110048045,0.323359,1,1,1,15,0,0,24,0,0
0.8900962110048045,0.31389,1,1,1,41,0,0,12,0,0
0.8900962110048045,0.317595,0,1,1,68,0,0,10,0,0
0.8900962110048045,0.335367,146,1,0,6,0,0,1,0,0
0.8901534816684484,0.33541,84,1,0,4,0,0,1,0,0
0.8898008347677109,0.516686,77,0,0,7,0,0,1,0,0
0.8898008347677109,0.510063,94,0,0,6,0,0,0,0,0
0.8893206320541247,0.538174,45,0,1,28,0,1,0,1,1
0.8898008347677109,0.524153,200,0,1,0,0,1,0,0,0
0.8897316448134209,0.535222,20,0,1,16,0,0,0,1,1
0.8898008347677109,0.525632,146,0,1,7,0,1,0,1,0
0.8900962110048045,0.315671,147,1,1,41,0,0,25,0,0
0.8900962110048045,0.313601,0,1,1,0,1,0,14,0,0
0.8900962110048045,0.317856,0,1,1,1,0,1,14,0,0
0.8900962110048045,0.317523,0,1,1,21,0,0,14,1,0
0.8900962110048045,0.31969,0,1,1,78,0,0,14,0,0
0.8900962110048045,0.316911,0,1,1,36,0,0,14,0,0
0.8900962110048045,0.326912,1,1,1,70,0,0,14,0,0
0.8900962110048045,0.314059,0,1,1,46,0,0,12,0,0
0.8898008347677109,0.512806,113,0,0,7,0,0,1,0,0
0.8898008347677109,0.507213,113,0,0,6,0,0,0,0,0
0.8898008347677109,0.506769,103,0,0,6,0,0,1,0,0
0.8898008347677109,0.506247,77,0,0,4,0,0,1,0,0
0.8898008347677109,0.530862,184,0,1,1,0,1,3,1,0
0.8898008347677109,0.509093,2,0,0,0,0,1,13,0,0
0.8898008347677109,0.532456,0,1,0,24,1,0,0,0,0
0.8900962110048045,0.315881,10,1,1,33,1,1,0,1,0
0.8900962110048045,0.323413,26,1,1,41,0,0,14,0,0
0.8900962110048045,0.31404,30,1,1,41,0,0,14,0,0
0.8900962110048045,0.33348,0,0,1,41,0,0,14,0,0
0.8900962110048045,0.325534,0,1,1,2,0,0,12,0,1
0.8900962110048045,0.318383,0,1,1,87,0,0,14,0,0
0.8898008347677109,0.52869,0,1,0,41,0,0,12,0,0
0.8900962110048045,0.316909,0,1,1,41,0,0,11,0,0
0.8900962110048045,0.331168,0,1,1,78,0,0,7,0,0
